100	115	116	117	120	122	134	137	139	140	141	145	149	14	153	162	169	179	18	190	192	195	201	204	205	208	210	217	21	221	22	231	232	243	249	254	268	26	281	287	289	295	2	31	32	334	33	343	34	36	392	3	401	412	415	435	441	44	490	50	51	55	58	59	60	61	80	82	86	90	93	98
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-let-7a-3p	99	88	62	99	36	89	210	233	133	196	193	37	17	45	141	113	42	124	188	169	61	66	91	63	99	128	290	211	81	289	36	214	401	82	70	147	299	523	284	162	92	74	334	195	197	251	218	252	164	47	148	220	219	120	113	247	596	100	93	222	144	346	190	138	145	99	61	229	341	318	243	215
hsa-let-7a-5p	23792	22413	22123	10939	21506	6954	16565	13178	24832	19175	23900	10709	6369	20540	25602	23939	13360	13748	18686	24303	12583	10922	11753	10883	6954	17309	23810	11793	18414	16416	9734	11202	33696	7507	9257	12661	25882	48645	16876	11990	24296	8127	18090	13169	21062	23280	30119	12617	34649	25834	32141	22039	22342	15411	20057	20528	33123	18123	18086	22280	11970	42418	29405	20464	16003	10878	7591	14249	25073	21739	39291	14394
hsa-let-7b-3p	86	44	83	30	43	31	92	105	27	71	77	20	3	87	44	28	36	33	53	48	16	21	42	29	23	31	88	32	65	121	55	104	147	70	34	48	194	233	65	71	28	28	107	40	54	98	74	98	84	66	26	38	43	21	49	63	132	45	50	60	67	77	96	32	103	49	38	69	65	114	112	77
hsa-let-7b-5p	8194	8488	6835	4003	6822	3653	5887	4143	6190	6338	5470	2897	3794	7741	5417	8484	4197	3759	3652	4908	3450	6473	3737	3598	2130	4970	5152	4214	5425	3848	3840	3613	13236	2709	2697	3068	9692	13623	4771	4465	5031	2012	6201	3136	4826	6919	7152	3356	10151	8687	7202	6391	5941	5028	5819	7135	9352	4449	5206	6824	3924	13061	9317	4825	4722	3273	3482	4849	6882	6083	9435	4916
hsa-let-7c-3p	5	2	10	6	0	4	6	2	0	4	10	3	0	4	2	2	0	2	0	0	4	5	1	0	12	9	0	0	5	3	5	5	17	0	0	0	6	18	1	0	6	3	0	4	1	2	0	3	5	3	0	6	1	7	0	4	4	2	10	11	0	3	10	0	4	0	0	5	4	8	13	7
hsa-let-7c-5p	1655	1631	1682	1006	1784	901	1410	1007	2831	2079	2467	838	498	1691	3148	2836	1419	1707	1664	2482	1635	1390	1343	1141	586	1913	1330	982	971	787	855	586	1482	310	610	1098	2307	4683	881	646	2506	665	908	1019	1862	1133	1831	757	2286	2028	4151	1746	1675	1851	1286	1720	2596	2098	1604	2717	1285	4383	4288	2397	1504	669	578	1242	2014	903	4066	1293
hsa-let-7d-3p	524	373	536	367	452	320	495	682	388	489	470	293	67	462	358	212	194	267	575	537	177	242	328	247	180	320	860	381	664	742	385	832	1790	500	165	376	913	1416	867	477	410	322	961	429	705	821	632	871	641	760	399	755	560	238	443	720	1467	435	297	717	470	824	687	572	754	199	513	478	723	524	884	535
hsa-let-7d-5p	1368	1008	1587	809	1661	539	1518	963	1458	1578	1330	855	295	1185	1539	1621	886	1091	894	1475	790	515	642	639	632	1277	1754	834	1480	996	793	940	1692	386	346	752	1837	3484	1429	930	1265	666	1219	1049	2118	1479	2325	834	2435	1779	2056	1971	1305	1197	1616	1733	2150	1350	1392	1654	904	2661	1947	1428	1245	815	658	1272	2072	1173	3234	1361
